Question,Answer
What is the computational complexity reduction achieved by FPC?,FPC reduces the computational complexity of the ResNet-50 model by 40.48% (7.76E8 FLOPs) compared to the original model.
What is the accuracy drop of the ResNet-18 and ResNet-50 in Table 8?,"The accuracy drop of the ResNet-18 and ResNet-50 in Table 8 is 1.01% and −0.10%, respectively."
What is the number of stages used by the ResNet-18 and ResNet-50 in Table 9?,The ResNet-18 and ResNet-50 use four stages in Table 9.
What is the pruning rate of the ResNet-18 in Table 9?,The pruning rate of the ResNet-18 in Table 9 is 0.3.
What are the top-1 accuracy percentages for the optimized neural network models on CIFAR-100?,"The top-1 accuracy percentages for the optimized neural network models on CIFAR-100 are 71.33%, 72.75%, and 72.79% for ResNet-56, ResNet-110, and CoAxNN, respectively."
What is the percentage drop in FLOPs for the optimized models compared to the baseline model?,"The percentage drop in FLOPs for the optimized models compared to the baseline model is 39.30%, 23.93%, and 40.53% for ResNet-56, ResNet-110, and CoAxNN, respectively."
What is the percentage of accuracy drop for the ResNet-56 model with the optimal configuration found by CoAxNN?,The percentage of accuracy drop for the ResNet-56 model with the optimal configuration found by CoAxNN is 0.98%.
What is the number of FLOPs for the ResNet-110 model with the optimal configuration found by CoAxNN?,The number of FLOPs for the ResNet-110 model with the optimal configuration found
How does CoAxNN compare to state-of-the-art methods?,CoAxNN is comparable to state-of-the-art methods in terms of performance.
What is the main advantage of using staging-based approximate strategies?,"The main advantage of using staging-based approximate strategies is that the inference of simple inputs can be terminated with a good prediction confidence in the earlier stage, thereby avoiding remaining layerwise computations."
What is the main disadvantage of pruning-based approximate strategies?,"The main disadvantage of pruning-based approximate strategies is that the pruning method lacks the ability to configure the neural network dynamically, which will miss the opportunities to optimize the model inference."
What is the main goal of the paper?,The main goal of the paper is to present a new method for efficient model optimization.
What is the problem with the pruning method?,"The pruning method lacks the ability to configure the neural network dynamically, which will miss the opportunities to optimize the model inference."
What is the advantage of CoAxNN compared to other methods?,"CoAxNN automatically finds (near-)optimal configurations by GA-based DSE, making full use of the advantages of both, thus achieving efficient model optimization."
What is the average inference latency for CoAxNN on the CIFAR10 dataset?,0.67%
What is the speedup of CoAxNN for the ResNet-20 model on the CIFAR10 dataset?,1.33×
What is the largest model accelerated by CoAxNN in the table?,ResNet-
What is the percentage of accuracy loss achieved by CoAxNN on the CIFAR-10 dataset?,"The percentage of accuracy loss achieved by CoAxNN on the CIFAR-10 dataset is 0.67%, 0.84%, 0.74%, and 0.63%."
What is the speedup achieved by CoAxNN on different models?,"CoAxNN can accelerate ResNet-20, ResNet-32, ResNet-56, and ResNet-110 models by 1.33×, 1.34×, 1.53×, and 1.51×, respectively."
How much energy consumption is reduced by CoAxNN on different models?,CoAxNN reduces
What percentage of accuracy loss did CoAxNN reduce on the CIFAR-10 dataset?,"CoAxNN reduced the accuracy loss of 0.67%, 0.84%, 0.74%, and 0.63% on the CIFAR-10 dataset."
"What percentage of energy consumption did CoAxNN reduce on the ResNet-20, ResNet-32, ResNet-56, and ResNet-110 models?","CoAxNN reduced the energy consumption of ResNet-20, ResNet-32, ResNet-56, and ResNet-110 by 25.17%, 25.68%, 34.61%, and 33.81%, respectively."
What is the difference in execution latency between the baseline models and the optimized models in the study?,"The optimized models have higher execution latency compared to the baseline models, with an increase of 10.2% and 13.6% for ResNet-18 and ResNet-50, respectively."
"What is the reason for the increase in execution latency in the optimized models, according to the study?","The increase in execution latency in the optimized models is due to the filter pruning technique used to reduce the computational costs and memory footprint, which results in a higher number of computations required to complete the same task."
What is the implication of the study's findings regarding the use of filter pruning for neural network acceleration?,The study's findings suggest that filter
What is the percentage of FLOPs reduction for the ResNet-18 model with the optimal configuration?,The ResNet-18 model with the optimal configuration achieves a FLOPs reduction of 1.01%.
What is the percentage of FLOPs reduction for the ResNet-50 model with the optimal configuration?,The ResNet-50 model with the optimal configuration achieves a FLOPs reduction of −0.10%.
What is the number of FLOPs for the ResNet-18 model with the optimal configuration?,The ResNet-18 model with the optimal configuration has 39.90% FLOPs.
What is the energy reduction of the optimized ResNet-20 model?,The energy reduction of the optimized ResNet-20 model is 0.67%.
What is the energy reduction of the optimized ResNet-32 model?,The energy reduction of the optimized ResNet-32 model is 0.84%.
What is the energy reduction of the optimized ResNet-56 model?,"The energy reduction of the optimized ResNet-56 model is 0.74%.

Note: All questions and answers are case-sensitive."
"What does ""CoAxNN-ACT"" denote in the given text?","CoAxNN-ACT denotes the accuracy of the model at each stage on the whole dataset and on the images that satisfy the activation condition of the corresponding stage, respectively."
What is the critical motivation of CoAxNN?,The critical motivation of CoAxNN is to find a satisfying optimization configuration for practical scenarios.
What does the ablation study in Fig. 5 show?,"The ablation study in Fig. 5 shows the accuracy of ResNet-56 optimized by CoAxNN at different stages, and it shows that the accuracy of the model in the first few stages is lower than that of the baseline model, and as the computational complexity of the model increases, the accuracy in the later stages increases."
What is the main conclusion that can be drawn from the visualization results in Fig. 5?,The main conclusion that can be drawn from the visualization results in Fig. 5 is that the accuracy of the CoAxNN-ALL model gradually converges to that of the baseline model as the computational complexity of the model increases.
How does the CoAxNN-ACT model differ from the CoAxNN-ALL model?,"The CoAxNN-ACT model differs from the CoAxNN-ALL model in that the former has a higher accuracy in the first few stages, indicating that the first few stages have sufficient ability to classify simple images."
What can be inferred from the visualization results in Fig. 6?,"From the visualization results in Fig. 6, it can be inferred that the CoAxNN"
What is the main advantage of using CoAxNN?,"CoAxNN can separate ""easy"" images consuming less effort from ""hard"" images consuming more computation, significantly reducing computation costs for neural network models."
What is the main disadvantage of using the baseline model?,The accuracy of the last stage of the optimization model is lower than that of the baseline model.
What is the purpose of collecting the latency of each operator in the profiling phase?,We collect the latency of each operator of the neural network model on the edge device in the profiling phase to be used in GA-based search.
What are the benefits of GA-based DSE?,Significantly reducing computation costs for neural network models.
What are the overheads of GA-based DSE?,"The GA-based DSE takes 1–2 s on the CPU platform, which is greatly less than model training."
Can CoAxNN be used for other intelligent tasks?,"Yes, CoAxNN is a generic framework for optimizing on-device deep learning via model approximation, which can be generalized to other intelligent tasks such as object detection.

Note: The questions and answers are generated based on the provided input text, and may not be accurate or complete."
What is the main advantage of CoAxNN?,The main advantage of CoAxNN is that the runtime overhead is negligible.
Can CoAxNN be applied to other intelligent tasks?,"Yes, CoAxNN can be applied to other intelligent tasks such as object detection."
What is the advantage of using CoAxNN?,The advantage of using CoAxNN is that it can achieve efficient fine-tuning of neural network models without requiring specific software implementations and hardware design support.
What are the requirements of intelligent tasks?,The requirements of intelligent tasks include the ability to perform optimization processes efficiently and effectively.
What are the limitations of CoAxNN?,The limitations of CoAxNN include the use of a fixed-rate filter pruning strategy and the inability of the NSGA-III used in GA-based DSE to always find the optimal solutions for increasing accuracy and decreasing latency.
What future studies will be explored in CoAxNN?,"Future studies in CoAxNN will include exploring other genetic algorithms such as NPGA for multiobjective optimization and setting different pruning ratios for different layers to further improve performance.

Note: The questions and answers are generated based on the provided text, but they may not be accurate or complete."
What are the different sensitives for model accuracy?,Different layers have different sensitives for model accuracy.
What will be explored in future studies?,"Setting different pruning ratios for different layers can potentially further improve the performance, which will be explored in future studies."
What is the conclusion of the paper?,"In this paper, we proposed an efficient optimization framework, CoAxNN, which effectively combines staging-based with pruning-based approximate strategies for efficient model inference on resource-constrained edge devices."
What is reference [1]?,"Reference [1]: K. He, X. Zhang, S. Ren, J. Sun, Deep residual learning for image recognition, in:
Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,
2016, pp. 770–778."
What is reference [2]?,"Reference [2]: Y. He, G. Kang, X. Dong, Y. Fu, Y. Yang, Soft filter pruning for accelerating
in: Proceedings of the Twenty-Seventh
Intelligence (IJCAI), 2018, pp.

deep convolutional neural networks,
International Joint Conference on Artificial
2234–2240."
What is reference [3]?,"Reference [3]: S.K. Esser, J.L. McKinstry, D. Bablani, R. Appuswamy, D.S. Modha, Learned
step size quantization, in: International Conference on Learning Representations,
2020."
What is reference [4]?,"Reference [4]: Y. Guo, A. Yao, Y. Chen, Dynamic network surgery for efficient dnns,

in:

Advances in Neural Information Processing Systems, Vol. 29, 2016."
What is reference [5]?,"Reference [5]: S. Han, J. Pool, J. Tran, W. Dally, Learning both weights and connections for
efficient neural network, in: Advances in Neural Information Processing Systems,
Vol. 28, 2015."
What is reference [6]?,"Reference [6]: B. Hassibi, D. Stork, Second order derivatives for network pruning: Optimal brain
surgeon, in: Advances in Neural Information Processing Systems, Vol. 5, 1992."
What is reference [7]?,"Reference [7]: B. Hassibi, D.G. Stork, G.J. Wolff, Optimal brain surgeon and general network
pruning, in: IEEE International Conference on Neural Networks, IEEE, 1993, pp.
293–299."
What is reference [8]?,"Reference [8]: Y. He, X. Dong, G. Kang, Y. Fu, C. Yan, Y. Yang, Asymptotic soft filter pruning
for deep convolutional neural networks, IEEE Trans. Cybern. 50 (8) (2019)
3594–3604."
What is reference [9]?,"Reference [9]: G. Li, X. Ma, X. Wang, L. Liu, J. Xue, X. Feng, Fusion-catalyzed pruning for
optimizing deep learning on intelligent edge devices, IEEE Trans. Comput.-Aided
Des. Integr. Circuits Syst. 39 (11) (2020) 3614–3626."
What is reference [10]?,"Reference [10]: J.-H. Luo, J. Wu, W. Lin, Thinet: A filter level pruning method for deep neural
network compression, in: Proceedings of the IEEE International Conference on
Computer Vision, 2017, pp. 5058–5066."
What is reference [11]?,"Reference [11]: G. Li, X. Ma, X. Wang, H. Yue, J. Li, L. Liu, X. Feng, J. Xue, Optimizing deep
neural networks on intelligent edge accelerators via flexible-rate filter pruning,
J. Syst. Archit. (2022) 102431."
What is reference [12]?,"Reference [12]: J. Plochaet, T. Goedemé, Hardware-aware pruning for FPGA deep learning
accelerators, in: Proceedings of the IEEE/CVF Conference on Computer Vision
and Pattern Recognition, 2023, pp. 4481–4489."
What is reference [13]?,"Reference [13]: X. Zhuang, Y. Ge, B. Zheng, Q. Wang, Adversarial network pruning by filter
robustness estimation, in: ICASSP 2023-2023 IEEE International Conference on
Acoustics, Speech and Signal Processing (ICASSP), IEEE, 2023, pp. 1–5."
What is reference [14]?,"Reference [14]: Z. Liu, M. Sun, T. Zhou, G. Huang, T. Darrell, Rethinking the value of network
pruning, in: International Conference on Learning Representations (ICLR), 2019."
What is reference [15]?,"Reference [15]: Y. Li, K. Adamczewski, W. Li, S. Gu, R. Timofte, L. Van Gool, Revisiting
random channel pruning for neural network compression, in: Proceedings of the
IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2022, pp.
191–201."
What is reference [16]?,"Reference [16]: Y. Li, P. Zhao, G. Yuan, X. Lin, Y. Wang, X. Chen, Pruning-as-search: Efficient
neural architecture search via channel pruning and structural reparameterization,
in: Proceedings of the Thirty-First International Joint Conference on Artificial
Intelligence, 2022, pp. 3236–3242."
What is reference [17]?,"Reference [17]: Y. Ding, Y. Wu, C. Huang, S. Tang, F. Wu, Y. Yang, W. Zhu, Y. Zhuang, NAP:

Neural architecture search with pruning, Neurocomputing 477 (2022) 85–95."
What is reference [18]?,"Reference [18]: S. Teerapittayanon, B. McDanel, H.-T. Kung, Branchynet: Fast inference via early
exiting from deep neural networks, in: 2016 23rd International Conference on
Pattern Recognition (ICPR), IEEE, 2016, pp. 2464–2469."
What is reference [19]?,"Reference [19]: P. Panda, A. Sengupta, K. Roy, Conditional deep learning for energy-efficient
and enhanced pattern recognition, in: 2016 Design, Automation & Test in Europe
Conference & Exhibition (DATE), IEEE, 2016, pp. 475–480."
What is reference [20]?,"Reference [20]: Y. Yang, D. Liu, H. Fang, Y.-X. Huang, Y. Sun, Z.-Y. Zhang, Once for all skip:
efficient adaptive deep neural networks, in: 2022 Design, Automation & Test in
Europe Conference & Exhibition (DATE), IEEE, 2022, pp. 568–571."
What is reference [21]?,"Reference [21]: B. Fang, X. Zeng, F. Zhang, H. Xu, M. Zhang, FlexDNN: Input-adaptive on-device
deep learning for efficient mobile vision, in: 2020 IEEE/ACM Symposium on Edge
Computing (SEC), IEEE, 2020, pp. 84–95."
What is reference [22]?,"Reference [22]: Y. Wang, J. Shen, T.-K. Hu, P. Xu, T. Nguyen, R. Baraniuk, Z. Wang, Y. Lin,
Dual dynamic inference: Enabling more efficient, adaptive, and controllable deep
inference, IEEE J. Sel. Top. Sign. Proces. 14 (4) (2020) 623–633."
What is reference [23]?,"Reference [23]: M. Figurnov, M.D. Collins, Y. Zhu, L. Zhang, J. Huang, D. Vetrov, R. Salakhutdi-
nov, Spatially adaptive computation time for residual networks, in: Proceedings
of the IEEE Conference on Computer Vision and Pattern Recognition, 2017, pp.
1039–1048."
What is reference [24]?,"Reference [24]: N.K. Jayakodi, A. Chatterjee, W. Choi, J.R. Doppa, P.P. Pande, Trading-off
accuracy and energy of deep inference on embedded systems: A co-design
approach, IEEE Trans. Comput.-Aided Des. Integr. Circuits Syst. 37 (11) (2018)
2881–2893."
What is reference [25]?,"Reference [25]: Z. Liang, Y. Zhou, Dispense mode for inference to accelerate branchynet, in:
2022 IEEE International Conference on Image Processing (ICIP), IEEE, 2022, pp.
1246–1250."
What is reference [26]?,"Reference [26]: J. Jo, G. Kim, S. Kim, J. Park, LoCoExNet: Low-cost early exit network for energy
efficient CNN accelerator design, IEEE Trans. Comput.-Aided Des. Integr. Circuits
Syst. (2023)."
What is reference [27]?,"Reference [27]: K. Park, C. Oh, Y. Yi, Bpnet: branch-pruned conditional neural network for
systematic time-accuracy tradeoff, in: 2020 57th ACM/IEEE Design Automation
Conference (DAC), IEEE, 2020, pp. 1–6."
What is reference [28]?,"Reference [28]: G. Park, Y. Yi, Condnas: neural architecture search for conditional CNNs,

Electronics 11 (7) (2022) 1101."
What is reference [29]?,"Reference [29]: Y. He, J. Lin, Z. Liu, H. Wang, L.-J. Li, S. Han, Amc: Automl for model
compression and acceleration on mobile devices, in: Proceedings of the European
Conference on Computer Vision (ECCV), 2018, pp. 784–800."
What is reference [30]?,"Reference [30]: Y. Qian, Z. He, Y. Wang, B. Wang, X. Ling, Z. Gu, H. Wang, S. Zeng, W. Swaileh,
Hierarchical threshold pruning based on uniform response criterion, IEEE Trans.
Neural Netw. Learn. Syst. (2023)."
What is reference [31]?,"Reference [31]: K. Wang, D. Zhang, Y. Li, R. Zhang, L. Lin, Cost-effective active learning for deep
image classification, IEEE Trans. Circuits Syst. Video Technol. 27 (12) (2016)
2591–2600."
What is reference [32]?,"Reference [32]: S. Anwar, K. Hwang, W. Sung, Structured pruning of deep convolutional neural

networks, ACM J. Emerg. Technol. Comput. Syst. (JETC) 13 (3) (2017) 1–18."
What is reference [33]?,"Reference [33]: J.H. Holland, Adaptation in Natural and Artificial Systems: An Introductory
Analysis with Applications To Biology, Control, and Artificial Intelligence, MIT
Press, 1992."
What is reference [34]?,"Reference [34]: A. Mohammadi, H. Asadi, S. Mohamed, K. Nelson, S. Nahavandi, OpenGA, a C++
genetic algorithm library, in: 2017 IEEE International Conference on Systems,
Man, and Cybernetics (SMC), IEEE, 2017, pp. 2051–2056."
What is reference [35]?,"Reference [35]: K. Deb, H. Jain, An evolutionary many-objective optimization algorithm using
reference-point-based nondominated sorting approach, part I: solving problems
with box constraints, IEEE Trans. Evol. Comput. 18 (4) (2013) 577–601."
What is reference [36]?,"Reference [36]: A. Krizhevsky, G. Hinton, et al., Learning multiple layers of features from tiny

images, 2009."
What is reference [37]?,"Reference [37]: L.N. Darlow, E.J. Crowley, A. Antoniou, A.J. Storkey, Cinic-10 is not imagenet

or cifar-10, 2018, arXiv preprint arXiv:1810.03505."
What is reference [38]?,"Reference [38]: L. Cai, Z. An, C. Yang, Y. Xu, Softer pruning, incremental regularization, in:
2020 25th International Conference on Pattern Recognition (ICPR), IEEE, 2021,
pp. 224–230."
What is reference [39]?,"Reference [39]: X. Dong, J. Huang, Y. Yang, S. Yan, More is less: A more complicated network
in: Proceedings of the IEEE Conference on

with less inference complexity,
Computer Vision and Pattern Recognition, 2017, pp. 5840–5848."
What is reference [40]?,"Reference [40]: Y. He, P. Liu, Z. Wang, Z. Hu, Y. Yang, Filter pruning via geometric median
for deep convolutional neural networks acceleration,
in: Proceedings of the
IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2019, pp.
4340–4349."
What is reference [41]?,"Reference [41]: X. Dong, Y. Yang, Network pruning via transformable architecture search, Adv.

Neural Inf. Process. Syst. 32 (2019)."
What is reference [42]?,"Reference [42]: Y. He, X. Zhang, J. Sun, Channel pruning for accelerating very deep neural
networks, in: Proceedings of the IEEE International Conference on Computer
Vision, 2017, pp. 1389–1397."
What is reference [43]?,"Reference [43]: S. Lin, R. Ji, C. Yan, B. Zhang, L. Cao, Q. Ye, F. Huang, D. Doermann,
Towards optimal structured cnn pruning via generative adversarial
learning,
in: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern
Recognition, 2019, pp. 2790–2799."
What is reference [44]?,"Reference [44]: L. Cai, Z. An, C. Yang, Y. Xu, Soft and hard filter pruning via dimension
reduction, in: 2021 International Joint Conference on Neural Networks (IJCNN),
IEEE, 2021, pp. 1–8."
What is reference [45]?,"Reference [45]: X. Yang, H. Lu, H. Shuai, X.-T. Yuan, Pruning convolutional neural networks
via stochastic gradient hard thresholding, in: Pattern Recognition and Computer
Vision: Second Chinese Conference, PRCV 2019, Xi’an, China, November 8–11,
2019, Proceedings, Part I, Springer, 2019, pp. 373–385."
What is reference [46]?,"Reference [46]: O. Russakovsky, J. Deng, H. Su, J. Krause, S. Satheesh, S. Ma, Z. Huang, A.
Karpathy, A. Khosla, M. Bernstein, et al., Imagenet large scale visual recognition
challenge, Int. J. Comput. Vis. 115 (3) (2015) 211–252."
What is reference [47]?,"Reference [47]: Y. Chen, X. Wen, Y. Zhang, Q. He, FPC: Filter pruning via the contribution
of output feature map for deep convolutional neural networks acceleration,
Knowl.-Based Syst. 238 (2022) 107876."
What is reference [48]?,"Reference [48]: Y. Chen, X. Wen, Y. Zhang, W. Shi, CCPrune: Collaborative channel pruning for

learning compact convolutional networks, Neurocomputing 451 (2021) 35–45."
What is reference [49]?,"Reference [49]: X. Chen, H. Ma, J. Wan, B. Li, T. Xia, Multi-view 3d object detection network
for autonomous driving, in: Proceedings of the IEEE Conference on Computer
Vision and Pattern Recognition, 2017, pp. 1907–1915."
What is reference [50]?,"Reference [50]: G. Hinton, O. Vinyals, J. Dean, et al., Distilling the knowledge in a neural

network, arXiv preprint arXiv:1503.02531 2 (7) (2015)."
What is reference [51]?,"Reference [51]: J. Horn, N. Nafpliotis, D.E. Goldberg, Multiobjective optimization using the

niched Pareto genetic algorithm, 1993"
