text,response
"allowed in model accuracy (±0.001), for example, 98.09%, and 98.12%
both meet the requirement of 98.1%. The relationship between the
number of stages and the computational cost is not regular, which
will be affected by the stage threshold and pruning rate, for example,
in Fig. 1(c), the computational cost of (3,0.08,0) with more stages is
larger than (2,0.1,0.1), the computational cost of (2,0.1,0.1) with fewer
stages is larger than (3,0.2,0.1). Besides, affected by the staging-based
optimization, the computational costs of the optimized model at a high
pruning rate may be larger than that at low pruning rates, for example,
in Fig. 1(b), the configuration of (2,0.08,0.3) with a pruning rate of 0.3
has more computational costs than (3,0.2,0.2) with a pruning rate of
0.2. In Fig. 1(a), we can observe from the partial experimental results
that at the accuracy requirement of 98.1%, the computation of the
optimized models using three stages is less than that of the model using","Question 1: What is the relationship between the number of stages and the computational cost in the context of the text?
Answer 1: The relationship between the number of stages and the computational cost is not regular, which means that the computational cost of a model with more stages may not always be larger than a model with fewer stages.

     Question 2: How does the staging-based optimization affect the computational cost of a model?
Answer 2: The staging-based optimization can cause the computational cost of a model to increase or decrease, depending on the pruning rate used.

     Question 3: What can be observed from the partial experimental results in Fig. 1?
Answer 3: From the partial experimental results, it can be observed that at a certain accuracy requirement (98.1% in this case), the computational cost of the optimized models using three stages is less than that of the model using two stages."
"has more computational costs than (3,0.2,0.2) with a pruning rate of
0.2. In Fig. 1(a), we can observe from the partial experimental results
that at the accuracy requirement of 98.1%, the computation of the
optimized models using three stages is less than that of the model using
two stages. But this law does not apply to the optimization effect of
other accuracy requirements such as 98.7% and 98.8%. It is observed
that the optimization effects of different configuration parameters are
distinct and irregular under the specified accuracy requirement, and
thus it is difficult to find an optimal model. This example shows that

JournalofSystemsArchitecture143(2023)1029783G. Li et al.

Fig. 2. The optimization effect of staging-based strategy, pruning-based strategy, and
CoAxNN for ResNet-56 on the CIFAR-10.

it is challenging to combine different approximate strategies to achieve
efficient optimization for neural network models.

In this paper, for a specified accuracy requirement, we focus on","Question 1: What does the paper conclude about the optimization effect of different configuration parameters?
Answer 1: The paper concludes that the optimization effects of different configuration parameters are distinct and irregular under the specified accuracy requirement, making it difficult to find an optimal model.

     Question 2: What does the paper observe in Fig. 1(a)?
Answer 2: The paper observes that at the accuracy requirement of 98.1%, the computation of the optimized models using three stages is less than that of the model using two stages.

     Question 3: What does the paper show in Fig. 2?
Answer 3: The paper shows that the optimization effect of staging-based strategy, pruning-based strategy, and CoAxNN for ResNet-56 on the CIFAR-10."
"CoAxNN for ResNet-56 on the CIFAR-10.

it is challenging to combine different approximate strategies to achieve
efficient optimization for neural network models.

In this paper, for a specified accuracy requirement, we focus on
combining the principles of different approximate strategies to construct a design space and automatically search for reasonable configuration parameters, giving full play to the advantages of different
approximate strategies to achieve efficient optimization for neural network models. As shown in Fig. 2, at the accuracy requirement of
99.6%, for the staging-based optimization strategy, the two stages are
used and the threshold is set to 0.07 for each stage, the normalized
computational cost is 0.89. For the pruning-based optimization, the
pruning rate is set to 0.1, and the normalized computational cost is
0.89. CoAxNN effectively combines pruning-based and staging-based
strategies, whose computational cost is 0.64, greatly improving the
computational performance.","Question 1: What is the main focus of the paper?
Answer 1: The main focus of the paper is to combine different approximate strategies to achieve efficient optimization for neural network models.

     Question 2: What is the normalized computational cost of the staging-based optimization strategy?
Answer 2: The normalized computational cost of the staging-based optimization strategy is 0.89.

     Question 3: What is the computational cost of CoAxNN?
Answer 3: The computational cost of CoAxNN is 0.64, which is greatly improved compared to the staging-based and pruning-based strategies."
"computational cost is 0.89. For the pruning-based optimization, the
pruning rate is set to 0.1, and the normalized computational cost is
0.89. CoAxNN effectively combines pruning-based and staging-based
strategies, whose computational cost is 0.64, greatly improving the
computational performance.

3. Methodology

3.1. Overview

In this paper, we propose an efficient optimization framework for
neural network models, CoAxNN, which automatically searches for
reasonable configuration parameters through a GA-based DSE. CoAxNN
effectively combines staging-based with pruning-based approximate
strategies to make full use of the superiority of both, thereby improving
the actual performance while meeting the accuracy requirements for
neural network models.

The overview of the CoAxNN is shown in Fig. 3. First, for the
original deep neural network model, CoAxNN performs staging-based
and pruning-based approximate strategies according to the genes of
the chromosome for each individual, which generates a compressed","Question 1: What is the computational cost of CoAxNN?
Answer 1: The computational cost of CoAxNN is 0.64.

     Question 2: What is the pruning rate of CoAxNN?
Answer 2: The pruning rate of CoAxNN is 0.1.

     Question 3: What is the normalized computational cost of CoAxNN?
Answer 3: The normalized computational cost of CoAxNN is 0.89."
"neural network models.

The overview of the CoAxNN is shown in Fig. 3. First, for the
original deep neural network model, CoAxNN performs staging-based
and pruning-based approximate strategies according to the genes of
the chromosome for each individual, which generates a compressed
multi-stage model. According to the availability of stages in the gene,
CoAxNN attaches exit branches to the original model to build a multistage conditional activation model. According to the threshold of each
stage, CoAxNN predicts input samples, having distinct difficulties, by
multiple stages with different computational complexities, with the
entropy-aware activation manner. The obtained multi-stage model is
compressed by removing unimportant filters, thereby further reducing
computational costs. Next, CoAxNN evaluates the fitness of the corresponding individual according to the accuracy and latency of the
compressed multi-stage model and sorts the individuals according to","Question 1: What does CoAxNN perform according to the genes of the chromosome for each individual?
Answer 1: CoAxNN performs staging-based and pruning-based approximate strategies according to the genes of the chromosome for each individual, which generates a compressed multi-stage model.

     Question 2: What does CoAxNN attach to the original model?
Answer 2: According to the availability of stages in the gene, CoAxNN attaches exit branches to the original model to build a multistage conditional activation model.

     Question 3: What does CoAxNN predict according to the threshold of each stage?
Answer 3: According to the threshold of each stage, CoAxNN predicts input samples, having distinct difficulties, by multiple stages with different computational complexities, with the entropy-aware activation manner."
"compressed by removing unimportant filters, thereby further reducing
computational costs. Next, CoAxNN evaluates the fitness of the corresponding individual according to the accuracy and latency of the
compressed multi-stage model and sorts the individuals according to
their fitness. Then, the chromosome pool is updated, generating the
next generation of individuals. After the evolution of multiple generations, which repeat the above steps, we can obtain several individuals
that have optimal performance.

3.2. Staging-based approximate optimization

In general, executing a neural network model is a one-staged approach, which processes all the inputs in the same manner, i.e., starting
from the input operator and performing it operator by operator until
the final exit operator. Prior studies [19] found that classification
difficulty varies widely across inputs in real-world scenarios. Different
computational complexities need to be considered when predicting in-","1. Question: What is the purpose of removing unimportant filters in the text?
Answer: The purpose of removing unimportant filters is to reduce computational costs.

    2. Question: What is the next step after evaluating the fitness of the corresponding individuals according to the accuracy and latency of the compressed multi-stage model?
Answer: The next step is to update the chromosome pool, generating the next generation of individuals.

    3. Question: What is the general approach of executing a neural network model?
Answer: The general approach of executing a neural network model is a one-staged approach, which processes all the inputs in the same manner, starting from the input operator and performing it operator by operator until the final exit operator."
"from the input operator and performing it operator by operator until
the final exit operator. Prior studies [19] found that classification
difficulty varies widely across inputs in real-world scenarios. Different
computational complexities need to be considered when predicting inputs. Most of the input samples can be correctly classified by employing

a part of a neural network, without the computation effort of the
entire neural network. Early exiting strategy often comes into play,
which allows simple inputs to exit early with a good prediction by the
addition of multiple exit points. By leveraging the early exiting strategy,
CoAxNN achieves a staging-based approximation to give an early exiting opportunity for simple inputs. We denote a neural network model
as  = {𝑓1, 𝑓2, … , 𝑓𝑚} which consists of 𝑚 operators. In CoAxNN, a
multi-stage model,  ∗, can be formalized as follows:

 ∗ =

𝜏
⋃

𝑖=0


𝑖

(1)

where 𝜏 is the number of stages.

The ","1. Question: What is the purpose of the early exiting strategy in CoAxNN?
Answer: The purpose of the early exiting strategy in CoAxNN is to give an early exiting opportunity for simple inputs.

2. Question: What does the notation  ∗ represent in CoAxNN?
Answer: The notation  ∗ represents a multi-stage model in CoAxNN.

3. Question: What is the purpose of the number of stages 𝜏 in CoAxNN?
Answer: The purpose of the number of stages 𝜏 in CoAxNN is to formalize the early exiting strategy in CoAxNN."
"ing opportunity for simple inputs. We denote a neural network model
as  = {𝑓1, 𝑓2, … , 𝑓𝑚} which consists of 𝑚 operators. In CoAxNN, a
multi-stage model,  ∗, can be formalized as follows:

 ∗ =

𝜏
⋃

𝑖=0


𝑖

(1)

where 𝜏 is the number of stages.

The 

𝑖 is an approximate model with the staging-based strategy,

which can be formalized as:



𝑖 =

{

𝑖 + 

𝑖 + 
 , 𝑖 = 𝜏

𝑖, 1 ⩽ 𝑖 < 𝜏

(2)

𝑖 = {𝑓1, 𝑓2, … , 𝑓𝑝𝑖

where 
} represents a part of the original neural
network with 𝑝𝑖 operators, 
, … , 𝑓 ∗
, 𝑓 ∗
} represents an addi𝑏𝑖
2
tional exit branch with 𝑏𝑖 operators, and 
𝑖 = {𝑐𝑖, 𝜀𝑖} represents an exit
checker, containing a threshold 𝜀𝑖 and a conditional activation operator
𝜏 =  denotes the original (main)
𝑐𝑖 using threshold 𝜀𝑖. Especially, 
neural network model.

𝑖 = {𝑓 ∗
1

It is non-trivial to design a staging-based approximate strategy
for adaptive conditional inference of a multi-stage model, and the
following factors need to be considered:

• Number of ","1. Question: What is the main difference between the original neural network model and the approximate model with the staging-based strategy?
Answer: The main difference between the original neural network model and the approximate model with the staging-based strategy is that the approximate model has additional components, such as the exit checker and the additional exit branch, which are not present in the original model. These additional components allow the approximate model to adaptively condition the inference based on the input data.

    2. Question: What is the purpose of the exit checker in the staging-based strategy?
Answer: The purpose of the exit checker in the staging-based strategy is to determine when to exit the inference process based on the input data. The exit checker uses a threshold and a conditional activation operator to decide when to exit the inference process, allowing the model to adaptively condition the inference based on the input data.

    3. Question: What is"
"𝜏 =  denotes the original (main)
𝑐𝑖 using threshold 𝜀𝑖. Especially, 
neural network model.

𝑖 = {𝑓 ∗
1

It is non-trivial to design a staging-based approximate strategy
for adaptive conditional inference of a multi-stage model, and the
following factors need to be considered:

• Number of 

𝒊. A multi-stage model with arbitrary exits can be built
by stage availability. However, fewer exits cannot cover the diverse
difficulty of classification of input samples, whereas too many exits
increase the latency of hard samples that do not exit early.

• Selection of Attached Position (𝒑𝒊) for 

𝒊. The exits at a more former position cannot provide satisfactory accuracy, while redundant
computation may be involved at a more latter exit. Besides, attached
exit branches may also interfere with a variety of computational
graph optimization methods, such as operator fusion and memory reuse, provided by the deep learning frameworks, increasing
operation counts, data movement, and other system overheads.","𝜏 =  denotes the original (main)
𝑐𝑖 using threshold 𝜀𝑖. Especially, 
neural network model.

    Question 1: What does 𝜏 represent in the given text?
Answer: 𝜏 represents the original (main) neural network model.

    Question 2: What is the significance of 𝑐𝑖 in the given text?
Answer: 𝑐𝑖 represents the use of threshold 𝜀𝑖.

    Question 3: What is the meaning of  in the given text?
Answer:  represents the neural network model."
"exit branches may also interfere with a variety of computational
graph optimization methods, such as operator fusion and memory reuse, provided by the deep learning frameworks, increasing
operation counts, data movement, and other system overheads.

• Confidence Threshold (𝜺𝒊) of 

𝒊. The confidence threshold is used
to determine whether the prediction result of stage 
𝑖 has sufficient
confidence. With a higher threshold, complex samples may finish
predictions from the previous exits with lower accuracy, and using
a lower threshold, simple samples may use more complex computations to complete inference, due to cannot end from the previous
classifiers, incurring additional computational overheads.

• Structure Design for 
𝒊. The structure of each exit branch (
𝑖)
is not identical. Each 
, 𝑓 ∗
𝑖 consists of several operators ({𝑓 ∗
, … ,
2
1
𝑓 ∗
𝑏𝑖−1}) used for feature extraction and a linear classifier 𝑓 ∗
. Feature
𝑏𝑖
extraction operators receive the intermediate feature map from 𝑓𝑝𝑖","Question 1: What is the main problem with exit branches in deep learning?
Answer 1: Exit branches may interfere with computational graph optimization methods, such as operator fusion and memory reuse, provided by deep learning frameworks, increasing operation counts, data movement, and other system overheads.

     Question 2: What is the confidence threshold used for in deep learning?
Answer 2: The confidence threshold is used to determine whether the prediction result of stage 𝑖 has sufficient confidence. With a higher threshold, complex samples may finish predictions from the previous exits with lower accuracy, and using a lower threshold, simple samples may use more complex computations to complete inference, due to cannot end from the previous classifiers, incurring additional computational overheads.

     Question 3: What is the structure of each exit branch in deep learning?
Answer 3: The structure of each exit branch (𝒊) consists of several operators"
"• Structure Design for 
𝒊. The structure of each exit branch (
𝑖)
is not identical. Each 
, 𝑓 ∗
𝑖 consists of several operators ({𝑓 ∗
, … ,
2
1
𝑓 ∗
𝑏𝑖−1}) used for feature extraction and a linear classifier 𝑓 ∗
. Feature
𝑏𝑖
extraction operators receive the intermediate feature map from 𝑓𝑝𝑖
and extract more high-level features in the form required by a
subsequent linear classifier. The configuration and complexity of the
intermediate feature maps for different depths of the main neural
networks are varying, making the design of 
𝑖 arduous. The 𝑓 ∗
𝑏𝑖
operator is used to produce classification results based on the output
of 𝑓 ∗
is different at
each 
𝑖.

𝑏𝑖−1, and the number of input feature maps for 𝑓 ∗
𝑏𝑖

To effectively utilize the early-exiting method to build an approximate multi-stage model, our approach carefully designs principles for
each module.

• Setting of Number (𝜏) and Attached Position (𝒑𝒊) of 
𝒊. The
number (𝜏) and the position (𝒑𝒊) of the exit branches (
𝒊) are two","1. Question: What are the different types of operators used for feature extraction in the text?
Answer: The different types of operators used for feature extraction in the text are {𝑓 ∗, … , 𝑓 ∗
𝑏𝑖−1}.

    2. Question: What is the purpose of the 𝑓 ∗
𝑏𝑖
operator in the text?
Answer: The purpose of the 𝑓 ∗
𝑏𝑖
operator in the text is to produce classification results based on the output of 𝑓 ∗
.

    3. Question: What is the difference in the configuration and complexity of the intermediate feature maps for different depths of the main neural networks?
Answer: The difference in the configuration and complexity of the intermediate feature maps for different depths of the"
"𝑏𝑖

To effectively utilize the early-exiting method to build an approximate multi-stage model, our approach carefully designs principles for
each module.

• Setting of Number (𝜏) and Attached Position (𝒑𝒊) of 
𝒊. The
number (𝜏) and the position (𝒑𝒊) of the exit branches (
𝒊) are two
factors that will affect each other. Some unnecessary exits may
be inserted, having little improvement in accuracy but leading to
non-negligible computational overheads, when the number of exit
branches is large. When the position of the exit branch is not

JournalofSystemsArchitecture143(2023)1029784G. Li et al.

Fig. 3. Overview of CoAxNN.

• Structure Design for 

reasonable, and cannot distinguish the difficulty of the sample, it
is difficult to increase the number of exit branches to reduce the
computational cost while meeting the model accuracy requirement.
To address this problem, CoAxNN puts the availability of each stage
into the design space of the GA, and each available stage corresponds","𝑏𝑖

    Question 1: What are the two factors that will affect each other in the early-exiting method?
Answer 1: The number (𝜏) and the position (𝒑𝒊) of the exit branches (𝒊) are two factors that will affect each other in the early-exiting method.

    Question 2: What is the purpose of putting the availability of each stage into the design space of the GA in CoAxNN?
Answer 2: To address the problem of increasing the number of exit branches to reduce the computational cost while meeting the model accuracy requirement, CoAxNN puts the availability of each stage into the design space of the GA, and each available stage corresponds to a different solution in the search space.

    Question 3: What is the difficulty of increasing the number of exit branches in the"
"is difficult to increase the number of exit branches to reduce the
computational cost while meeting the model accuracy requirement.
To address this problem, CoAxNN puts the availability of each stage
into the design space of the GA, and each available stage corresponds
to a new exit branch. The availability of the stage can control the
number and position of exit branches at the same time. Besides,
to introduce fewer new model structures and preserve the existing
graph optimizations, CoAxNN chooses to attach exit branches 
𝑖 at
the end of the group of building blocks. It is noted that CoAxNN does
not attach the exit branch after the last group of building blocks, as
there is already an existing original exit for the original backbone.
𝒊. We introduce a feature extractor and
a linear classifier for each exit branch 
𝑖. The structure of the
feature extractor is designed with the building block as granularity.
This design not only retains the original neural network structure","Question 1: What is the main problem that CoAxNN addresses in the text?
Answer 1: CoAxNN addresses the problem of increasing the number of exit branches to reduce computational cost while meeting model accuracy requirements.

     Question 2: How does CoAxNN choose to attach exit branches?
Answer 2: CoAxNN chooses to attach exit branches at the end of the group of building blocks, and does not attach the exit branch after the last group of building blocks as there is already an existing original exit for the original backbone.

     Question 3: What is the purpose of introducing a feature extractor and a linear classifier for each exit branch?
Answer 3: The purpose of introducing a feature extractor and a linear classifier for each exit branch is to retain the original neural network structure and introduce new features for each exit branch."
"𝒊. We introduce a feature extractor and
a linear classifier for each exit branch 
𝑖. The structure of the
feature extractor is designed with the building block as granularity.
This design not only retains the original neural network structure
but also provides more opportunities for system-level optimizations.
Generally, operators for feature extraction also contain non-linear
activation operators such as rectified linear units, and normalization
operators such as batch normalization. Besides, prior studies [24]
revealed that the output feature maps of operators at shallow depths
of a neural network have a relatively large height and width, which
results in a large number of input feature maps being passed to the
linear classifier of former exits, thus leading to a long latency for
easy samples that exit early. As such, in CoAxNN, we add an extra
pooling operator after the last feature extraction operator of shallow

𝑖.

• Confidence Measure in 

𝒊. The 

𝑖. A reliable ","𝒊. Question: What is the purpose of introducing a feature extractor and a linear classifier in CoAxNN?
Answer: The purpose of introducing a feature extractor and a linear classifier in CoAxNN is to improve the efficiency of the network for easy samples that exit early.

    𝑖. Question: What is the design of the feature extractor in CoAxNN?
Answer: The feature extractor in CoAxNN is designed with the building block as granularity, which not only retains the original neural network structure but also provides more opportunities for system-level optimizations.

    𝑖. Question: What are the activation operators used in the feature extractor of CoAxNN?
Answer: The activation operators used in the feature extractor of CoAxNN are non-linear activation operators such as rectified linear units and normalization operators such as batch"
"linear classifier of former exits, thus leading to a long latency for
easy samples that exit early. As such, in CoAxNN, we add an extra
pooling operator after the last feature extraction operator of shallow

𝑖.

• Confidence Measure in 

𝒊. The 

𝑖. A reliable 

𝑖 takes a threshold checking step,
which determines whether an input returns from the current exit
or continues to the next exit according to the prediction result
of 
𝑖 should have the ability to identify whether
the classification results are sufficiently confident. There are various methods [31], including maximum probability, entropy, and
margin, for the design of 
𝑖. Prior work [24] has demonstrated
the performance of the aforementioned three confidence types is
almost identical. CoAxNN chooses to use the entropy of predicted
probability as the entropy-aware activation operator (𝑐𝑖) to evaluate
the confidence of the prediction result for the input sample (𝑥) of
the 𝑖th stage classifier, as follows:

entropy( ̂𝑦𝑖) =

𝐶
∑

𝑐=1","𝑐𝑖 = 𝑐𝑖𝑐

    𝑐𝑖 = 𝑐𝑖𝑐

Question 1: What is the main problem with linear classifiers?
Answer 1: The main problem with linear classifiers is that they have a long latency for easy samples that exit early.

Question 2: What is the purpose of adding an extra pooling operator in CoAxNN?
Answer 2: The purpose of adding an extra pooling operator in CoAxNN is to evaluate the confidence of the prediction result for the input sample of the 𝑖th stage classifier.

Question 3: What is the design of 𝑖 in CoAxNN?
Answer 3: The design of 𝑖 in CoAxNN is to have"
"almost identical. CoAxNN chooses to use the entropy of predicted
probability as the entropy-aware activation operator (𝑐𝑖) to evaluate
the confidence of the prediction result for the input sample (𝑥) of
the 𝑖th stage classifier, as follows:

entropy( ̂𝑦𝑖) =

𝐶
∑

𝑐=1

̂𝑦𝑖(𝑐) log ̂𝑦𝑖(𝑐)

(3)

where ̂𝑦𝑖 is the probability distribution of the output of the linear
classifier 𝑓 ∗
on different classification labels, calculated by the soft𝑏𝑖
max operator, and 𝐶 is the number of classes. An entropy threshold
𝜀𝑖 is used to decide whether an input returns the prediction of the
current exit or activates the latter operators. A higher confidence
value implies that the input sample that arrived at the current exit is
hard and needs to be processed by a more complex stage to complete
accurate classification.

3.3. Pruning-based approximate optimization

In addition to the staging-based approximate strategy that provides adaptive computing based on conditional activation at runtime,","𝑥 is the input sample of the 𝑖th stage classifier.

Question 1: What is the purpose of using entropy as the entropy-aware activation operator in the CoAxNN model?
Answer 1: The purpose of using entropy as the entropy-aware activation operator in the CoAxNN model is to evaluate the confidence of the prediction result for the input sample of the 𝑖th stage classifier.

Question 2: What is the formula for calculating the entropy of the predicted probability distribution in the CoAxNN model?
Answer 2: The formula for calculating the entropy of the predicted probability distribution in the CoAxNN model is:

entropy( ̂𝑦𝑖) = 𝐶 ∑ ̂𝑦𝑖(𝑐) log ̂𝑦𝑖"
"hard and needs to be processed by a more complex stage to complete
accurate classification.

3.3. Pruning-based approximate optimization

In addition to the staging-based approximate strategy that provides adaptive computing based on conditional activation at runtime,
CoAxNN also integrates a pruning-based approximate strategy to compress model size. The neural network pruning technique has been
widely studied by researchers, which can be broadly categorized as
structured and unstructured pruning. Structured pruning such as filter
pruning has higher computational efficiency than unstructured pruning [32]. Especially, filter pruning is employed, which not only deletes
redundant computations of unimportant filters but also leads to the
removal of corresponding feature maps, providing realistic performance
improvements. In CoAxNN, we utilize the filter pruning method to
compress the multi-stage model and quantify the importance of each
filter in a convolutional operator based on the 𝓁2-norm:



‖
‖

‖2 =","Question 1: What is the main advantage of using pruning-based approximate optimization in CoAxNN?
Answer 1: It provides realistic performance improvements by removing redundant computations of unimportant filters.

Question 2: What is the difference between structured and unstructured pruning in the neural network pruning technique?
Answer 2: Structured pruning, such as filter pruning, has higher computational efficiency than unstructured pruning.

Question 3: What is the importance of each filter in a convolutional operator based on the 𝓁2-norm?
Answer 3: It is the amount of feature maps that are removed when a filter is deleted."
"removal of corresponding feature maps, providing realistic performance
improvements. In CoAxNN, we utilize the filter pruning method to
compress the multi-stage model and quantify the importance of each
filter in a convolutional operator based on the 𝓁2-norm:



‖
‖

‖2 =
𝑟‖

√
√
√
√
√

𝑘
∑

𝑚
∑

𝑛
∑

𝑡=1

𝑖=1

𝑗=1

𝑤2

𝑡,𝑖,𝑗

(4)

where 
𝑟 indicates the 𝑟th filter in a convolutional operator, 𝑤𝑡,𝑖,𝑗
denotes an element of 
𝑟 that resides in the 𝑖th row and 𝑗th column
in the 𝑡th channel, 𝑘 denotes the input channels, 𝑚 denotes the height
of filters, and 𝑛 denotes the width of filters. The filters with smaller 𝓁2norm will be given higher priority to be pruned than those of higher
𝓁2-norm. To keep the model capacity and minimize the loss of accuracy
as much as possible, we utilize a dynamic pruning scheme [2] for
staging-based approximate CNNs, which zeroes the pruned filters and
keeps updating them in the re-training process.

3.4. Training of CoAxNN","𝑡𝑖𝑗

    𝑡𝑖𝑗

    𝑡𝑖𝑗

Question 1: What is the purpose of pruning filters in CoAxNN?
Answer 1: The purpose of pruning filters in CoAxNN is to remove corresponding feature maps, providing realistic performance improvements.

Question 2: How does the filter pruning method work in CoAxNN?
Answer 2: In CoAxNN, the filter pruning method works by compressing the multi-stage model and quantifying the importance of each filter in a convolutional operator based on the 𝓁2-norm.

Question 3: What is the dynamic pruning scheme used in CoAxNN?
Answer 3: The dynamic pruning scheme used in CoAxNN is a st"
"𝓁2-norm. To keep the model capacity and minimize the loss of accuracy
as much as possible, we utilize a dynamic pruning scheme [2] for
staging-based approximate CNNs, which zeroes the pruned filters and
keeps updating them in the re-training process.

3.4. Training of CoAxNN

Joint training trains all classifiers in a neural network model at
the same time, which is widely used in the training process of neural
network models with exit branches [18,27]. It defines a loss function
for each classifier and minimizes the weighted sum of loss functions
for all classifiers during training. Therefore, each classifier provides
regularization for others to alleviate the overfitting of the model.
CoAxNN utilizes joint training optimization to train the backbone
neural network and exit branches at the same time and minimize the
weighted sum of the cross-entropy loss functions of all stages, denoted
as follows:



joint =

𝜏
∑

𝑖=1

𝜆𝑖

CE(𝑦, ̄𝑦𝑖)


(5)","𝓁2-norm. To keep the model capacity and minimize the loss of accuracy
as much as possible, we utilize a dynamic pruning scheme [2] for
staging-based approximate CNNs, which zeroes the pruned filters and
keeps updating them in the re-training process.

Question 1: What is the purpose of utilizing a dynamic pruning scheme for staging-based approximate CNNs?
Answer 1: To keep the model capacity and minimize the loss of accuracy as much as possible.

Question 2: What is the purpose of joint training in the training process of neural network models with exit branches?
Answer 2: Joint training defines a loss function for each classifier and minimizes the weighted sum of loss functions for all classifiers during training, which helps to alleviate the overfitting of the model.

Question 3: What is the purpose of"
"CoAxNN utilizes joint training optimization to train the backbone
neural network and exit branches at the same time and minimize the
weighted sum of the cross-entropy loss functions of all stages, denoted
as follows:



joint =

𝜏
∑

𝑖=1

𝜆𝑖

CE(𝑦, ̄𝑦𝑖)


(5)

where 𝜆𝑖 represents the weight of the loss function of the 𝑖th stage,
𝑦 is the real classification of 𝑥 which is shared by all stages, ̄𝑦𝑖 is the
output of linear classifier 𝑓 ∗
of the 𝑖th stage, and the cross-entropy loss
𝑏𝑖
function 

CE is calculated as follows:

CE(𝑦, ̄𝑦𝑖) = −


𝐶
∑

𝑐=1

𝑦(𝑐) log

e ̄𝑦𝑖(𝑐)
𝑗=1 e ̄𝑦𝑖(𝑗)

∑𝐶

(6)

JournalofSystemsArchitecture143(2023)1029785G. Li et al.

The training process of CoAxNN is summarized in Algorithm 1.
It is given training dataset , training epochs 𝑒𝑝𝑜𝑐ℎ𝑚𝑎𝑥, batch size
𝜌, original deep neural network model  , number of stages 𝜏, the
weights for loss functions of all stages 𝜆, and the chromosome pool
𝑃 . First, based on the genes on the chromosome, CoAxNN performs a","1. Question 1: What is the main objective of CoAxNN?
    2. Answer 1: The main objective of CoAxNN is to train the backbone neural network and exit branches at the same time and minimize the weighted sum of the cross-entropy loss functions of all stages.

    3. Question 2: What is the formula used to calculate the cross-entropy loss function in CoAxNN?
    4. Answer 2: The formula used to calculate the cross-entropy loss function in CoAxNN is given by CE(𝑦, ̄𝑦𝑖) = −𝐶∑𝑐=1𝑦(𝑐)loge𝑓(𝑐) where 𝑓 is the output of the linear classifier of the 𝑖th stage"
"It is given training dataset , training epochs 𝑒𝑝𝑜𝑐ℎ𝑚𝑎𝑥, batch size
𝜌, original deep neural network model  , number of stages 𝜏, the
weights for loss functions of all stages 𝜆, and the chromosome pool
𝑃 . First, based on the genes on the chromosome, CoAxNN performs a
staging-based optimization strategy, which approximates the original
neural network model as a multi-stage conditional activation model
by attaching exit branches (Lines 1–11). Then, the generated multistage model is initialized randomly (Lines 12–13). Next, the model
is compressed and tuned according to the training data  and the
gene of the pruning rate (𝑃 [𝑝].𝑝𝑟𝑢𝑛𝑖𝑛𝑔_𝑟𝑎𝑡𝑒) on the chromosome in
𝑒𝑝𝑜𝑐ℎ𝑚𝑎𝑥 epochs (Lines 14–34). In each epoch, CoAxNN calculates the
loss function according to Eq. (5) and updates the weights by the
traditional backpropagation algorithm (Lines 15–26). Besides, for each
convolutional operator in the approximate multi-stage model, CoAxNN
obtains the number of filters (𝑡) and calculates the 𝓁2-norm of each","𝑡
    𝑥

    Question 1: What is the purpose of CoAxNN?
Answer 1: CoAxNN is a method for compressing and pruning deep neural networks.

    Question 2: What is the input to CoAxNN?
Answer 2: The input to CoAxNN is a given training dataset, training epochs, batch size, original deep neural network model, number of stages, weights for loss functions of all stages, and the chromosome pool.

    Question 3: What is the output of CoAxNN?
Answer 3: The output of CoAxNN is the number of filters (𝑡) and the 𝓁2-norm of each filter in the approximate multi-stage model."
"loss function according to Eq. (5) and updates the weights by the
traditional backpropagation algorithm (Lines 15–26). Besides, for each
convolutional operator in the approximate multi-stage model, CoAxNN
obtains the number of filters (𝑡) and calculates the 𝓁2-norm of each
filter according to Eq. (4), then the dynamic pruning scheme is used
to prune ⌊𝑡 × 𝑃 [𝑝].𝑝𝑟𝑢𝑛𝑖𝑛𝑔_𝑟𝑎𝑡𝑒⌋ filters with low 𝓁2-norm (Lines 27–33).
The pruned filters can be updated once it is found to be important at
any time, thus maintaining the learning ability of the model. In the
pruning process of each epoch, CoAxNN will reorder the importance
of filters for each convolutional operator, and select the filters to be
pruned. Finally, the trained model  ′ is obtained (Line 36).

Algorithm 1: CoAxNN training

Input: training data: , training epoch: 𝑒𝑝𝑜𝑐ℎ𝑚𝑎𝑥, batch size: 𝜌,

original model backbone:  , the number of stages: 𝜏, the
weights for loss functions: 𝜆, chromosomes: 𝑃

Output: trained models:  ′

1 for 𝑝 = 1 → 𝑃 .𝑠𝑖𝑧𝑒() do","🚀 Question 1: What is the purpose of the dynamic pruning scheme in CoAxNN?
    📝 Answer 1: The dynamic pruning scheme in CoAxNN is used to prune filters with low 𝓁2-norm, thus maintaining the learning ability of the model.

    🚀 Question 2: How does CoAxNN update the weights of the traditional backpropagation algorithm?
    📝 Answer 2: CoAxNN updates the weights of the traditional backpropagation algorithm according to the loss function according to Eq. (5).

    🚀 Question 3: What is the purpose of reordering the importance of filters in the pruning process of each epoch in CoAxNN?
    📝 Answer 3: The purpose of reordering the importance of filters in the pruning process"
